id_opcion,texto,validez,id_pregunta
1,Vivamus tortor.,1,94
2,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,32
3,Ut at dolor quis odio consequat varius.,1,52
4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,62
5,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,89
6,Nulla mollis molestie lorem.,0,27
7,Nullam varius.,0,59
8,In blandit ultrices enim.,1,3
9,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0,19
10,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,23
11,Maecenas ut massa quis augue luctus tincidunt.,0,54
12,Nam dui.,0,12
13,Aenean lectus.,0,31
14,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,33
15,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,88
16,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,78
17,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0,56
18,Curabitur in libero ut massa volutpat convallis.,0,47
19,Nulla nisl.,1,38
20,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,80
21,Aliquam erat volutpat.,1,13
22,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,43
23,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1,86
24,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,22
25,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1,44
26,Pellentesque viverra pede ac diam.,1,96
27,Sed accumsan felis.,0,73
28,Praesent blandit lacinia erat.,1,1
29,Nulla justo.,0,92
30,Morbi non lectus.,0,66
31,Nulla ut erat id mauris vulputate elementum.,1,46
32,Praesent blandit lacinia erat.,1,58
33,Proin eu mi.,1,84
34,Vivamus tortor.,1,97
35,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,53
36,Nam tristique tortor eu pede.,1,30
37,Aenean fermentum.,0,55
38,Suspendisse accumsan tortor quis turpis.,1,45
39,Integer ac neque.,1,77
40,Nunc nisl.,1,41
41,Nulla ut erat id mauris vulputate elementum.,0,82
42,Aliquam quis turpis eget elit sodales scelerisque.,1,2
43,Donec ut dolor.,0,69
44,Aenean lectus.,0,8
45,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,75
46,Donec semper sapien a libero.,1,63
47,In blandit ultrices enim.,1,49
48,In congue.,1,67
49,Donec quis orci eget orci vehicula condimentum.,0,25
50,In hac habitasse platea dictumst.,0,51
51,Integer a nibh.,1,16
52,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,48
53,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,26
54,Integer ac leo.,0,65
55,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,100
56,Etiam vel augue.,1,85
57,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,35
58,Pellentesque ultrices mattis odio.,1,93
59,Donec vitae nisi.,0,18
60,Proin risus.,1,4
61,Aliquam erat volutpat.,1,28
62,Pellentesque at nulla.,0,20
63,Fusce posuere felis sed lacus.,1,11
64,Aenean auctor gravida sem.,1,29
65,Nulla facilisi.,0,64
66,In hac habitasse platea dictumst.,0,74
67,Morbi non quam nec dui luctus rutrum.,0,10
68,Donec dapibus.,1,6
69,Morbi porttitor lorem id ligula.,1,76
70,Morbi non lectus.,0,50
71,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,72
72,Suspendisse accumsan tortor quis turpis.,1,17
73,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,37
74,Duis bibendum.,1,24
75,Morbi non lectus.,0,95
76,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,81
77,In congue.,0,7
78,Quisque porta volutpat erat.,0,9
79,Maecenas rhoncus aliquam lacus.,0,70
80,Morbi non lectus.,0,79
81,Aliquam quis turpis eget elit sodales scelerisque.,1,14
82,In blandit ultrices enim.,1,40
83,Praesent lectus.,0,60
84,Donec ut mauris eget massa tempor convallis.,1,68
85,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,39
86,Curabitur gravida nisi at nibh.,1,83
87,Fusce consequat.,1,87
88,Morbi non quam nec dui luctus rutrum.,0,34
89,Nunc purus.,1,21
90,Vivamus vel nulla eget eros elementum pellentesque.,1,42
91,Aenean sit amet justo.,0,5
92,Integer tincidunt ante vel ipsum.,1,91
93,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,98
94,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,57
95,Sed sagittis.,1,71
96,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,90
97,Proin eu mi.,0,36
98,Praesent blandit lacinia erat.,1,15
99,Duis consequat dui nec nisi volutpat eleifend.,1,61
100,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1,99
